City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rikitea,PF,73.44,light rain,-23.1203,-134.9692,People ThankYou
2,Jamestown,US,76.59,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
3,Guane,CU,80.73,broken clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
4,Arraial Do Cabo,BR,71.24,few clouds,-22.9661,-42.0278,Pousada Porto Praia
9,Kapaa,US,84.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Belmonte,BR,70.29,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
13,Sibu,MY,82.71,few clouds,2.3,111.8167,RH HOTEL (4 Star)
17,Nanpiao,CN,71.1,overcast clouds,41.0982,120.7479,Xinxing Hotel
20,Butaritari,KI,82.06,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
21,Weligama,LK,77.43,overcast clouds,5.9667,80.4167,Weligama Bay Resort
23,Vaini,TO,80.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
25,Carnarvon,AU,70.95,light rain,-24.8667,113.6333,Hospitality Carnarvon
26,Bud,US,80.58,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
27,Bethel,US,80.76,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
28,Halifax,CA,70.7,broken clouds,44.6453,-63.5724,Hotel Halifax
29,Aksu,CN,83.64,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
32,Bengkulu,ID,78.57,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
43,Grand Forks,US,71.33,scattered clouds,47.9417,-97.4337,Warrior Inn
44,Hithadhoo,MV,81.7,overcast clouds,-0.6,73.0833,Scoop Guest House
52,Biltine,TD,79.16,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
54,San Pedro,PH,83.32,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
55,Thompson,CA,73.56,overcast clouds,55.7435,-97.8558,Burntwood Hotel
56,Chernigovka,RU,77.2,broken clouds,44.3389,132.5728,
57,Kilindoni,TZ,74.84,light rain,-7.9139,39.6668,Bustani B&B
58,Jamame,SO,75.51,overcast clouds,0.0722,42.7506,
60,Orocue,CO,70.05,broken clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
61,Praia Da Vitoria,PT,71.85,few clouds,38.7333,-27.0667,Hotel Branco I
63,Yakeshi,CN,71.78,clear sky,49.2833,120.7333,Longhua Hotel
64,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
65,Gat,IL,82.4,clear sky,31.61,34.7642,OlusHome
67,Sola,VU,80.08,overcast clouds,-13.8833,167.55,Leumerus Bungalows
68,Tiznit,MA,72.45,clear sky,29.5833,-9.5,
69,Kharan,PK,79.5,overcast clouds,28.5833,65.4167,Dil Aram Bangla
71,Samarai,PG,79.21,light rain,-10.6167,150.6667,Nuli Sapi
