City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rikitea,PF,2022-07-29 01:15:36,-23.1203,-134.9692,73.44,75,8,20.76,light rain
1,Hobart,AU,2022-07-29 01:15:04,-42.8794,147.3294,48.06,64,20,14.97,few clouds
2,Jamestown,US,2022-07-29 01:15:37,42.097,-79.2353,76.59,54,0,8.05,clear sky
3,Guane,CU,2022-07-29 01:15:37,22.2025,-84.0875,80.73,74,77,4.97,broken clouds
4,Arraial Do Cabo,BR,2022-07-29 01:15:38,-22.9661,-42.0278,71.24,84,13,25.5,few clouds
5,Alice Springs,AU,2022-07-29 01:15:38,-23.7,133.8833,60.35,27,32,12.66,scattered clouds
6,New Norfolk,AU,2022-07-29 01:15:39,-42.7826,147.0587,47.7,50,31,7.7,scattered clouds
7,Saskylakh,RU,2022-07-29 01:15:39,71.9167,114.0833,60.66,88,100,5.17,overcast clouds
8,Barrow,US,2022-07-29 01:15:40,71.2906,-156.7887,33.82,100,100,14.97,overcast clouds
9,Kapaa,US,2022-07-29 01:12:49,22.0752,-159.319,84.18,77,75,8.05,broken clouds
10,Belmonte,BR,2022-07-29 01:15:40,-15.8631,-38.8828,70.29,81,0,5.75,clear sky
11,Moose Factory,CA,2022-07-29 01:15:41,51.2585,-80.6094,62.6,82,20,4.61,light rain
12,Posse,BR,2022-07-29 01:15:41,-14.0931,-46.3694,64.17,44,0,5.66,clear sky
13,Sibu,MY,2022-07-29 01:15:42,2.3,111.8167,82.71,74,20,3.44,few clouds
14,Ushuaia,AR,2022-07-29 01:11:32,-54.8,-68.3,38.86,81,40,9.22,light rain
15,Mollendo,PE,2022-07-29 01:15:43,-17.0231,-72.0147,59.92,84,99,8.9,overcast clouds
16,Osoyoos,CA,2022-07-29 01:13:54,49.0331,-119.4524,100.53,20,48,4.18,scattered clouds
17,Nanpiao,CN,2022-07-29 01:15:43,41.0982,120.7479,71.1,91,100,3.53,overcast clouds
18,Saint-Philippe,RE,2022-07-29 01:12:51,-21.3585,55.7679,65.79,82,37,7.54,scattered clouds
19,Sitka,US,2022-07-29 01:15:44,57.0531,-135.33,58.89,94,100,9.22,light rain
20,Butaritari,KI,2022-07-29 01:15:44,3.0707,172.7902,82.06,72,89,15.68,overcast clouds
21,Weligama,LK,2022-07-29 01:15:45,5.9667,80.4167,77.43,89,100,4.43,overcast clouds
22,Mar Del Plata,AR,2022-07-29 01:15:45,-38.0023,-57.5575,48.22,94,100,13.8,drizzle
23,Vaini,TO,2022-07-29 01:15:46,-21.2,-175.2,80.76,89,40,10.36,scattered clouds
24,Lata,PT,2022-07-29 01:15:46,40.1629,-8.3327,57.07,98,13,1.77,few clouds
25,Carnarvon,AU,2022-07-29 01:15:47,-24.8667,113.6333,70.95,59,100,4.12,light rain
26,Bud,US,2022-07-29 01:15:47,39.447,-86.1758,80.58,83,100,5.84,overcast clouds
27,Bethel,US,2022-07-29 01:15:48,41.3712,-73.414,80.76,85,75,4.61,broken clouds
28,Halifax,CA,2022-07-29 01:15:48,44.6453,-63.5724,70.7,61,75,6.91,broken clouds
29,Aksu,CN,2022-07-29 01:15:49,41.1231,80.2644,83.64,32,100,3.0,overcast clouds
30,Nome,US,2022-07-29 01:15:49,64.5011,-165.4064,56.16,71,100,8.05,overcast clouds
31,Mitu,CO,2022-07-29 01:15:50,1.1983,-70.1733,68.85,99,49,2.15,scattered clouds
32,Bengkulu,ID,2022-07-29 01:15:50,-3.8004,102.2655,78.57,80,60,2.37,broken clouds
33,Punta Arenas,CL,2022-07-29 01:11:41,-53.15,-70.9167,41.11,81,40,24.16,light rain
34,Dikson,RU,2022-07-29 01:15:51,73.5069,80.5464,43.9,100,100,17.34,overcast clouds
35,Bluff,NZ,2022-07-29 01:15:51,-46.6,168.3333,47.8,82,100,16.67,moderate rain
36,Ilulissat,GL,2022-07-29 01:15:52,69.2167,-51.1,51.82,43,40,11.5,scattered clouds
37,Tiksi,RU,2022-07-29 01:15:52,71.6872,128.8694,52.38,86,99,8.59,overcast clouds
38,Kwinana,AU,2022-07-29 01:15:53,-32.25,115.7667,61.93,79,100,4.0,light rain
39,Ostrovnoy,RU,2022-07-29 01:15:53,68.0531,39.5131,50.38,87,100,12.68,overcast clouds
40,Lebu,CL,2022-07-29 01:15:54,-37.6167,-73.65,48.22,87,6,16.75,clear sky
41,Busselton,AU,2022-07-29 01:15:54,-33.65,115.3333,59.74,61,91,17.78,overcast clouds
42,Cape Town,ZA,2022-07-29 01:11:52,-33.9258,18.4232,56.88,86,100,10.0,moderate rain
43,Grand Forks,US,2022-07-29 01:15:55,47.9417,-97.4337,71.33,64,40,8.05,scattered clouds
44,Hithadhoo,MV,2022-07-29 01:15:56,-0.6,73.0833,81.7,74,100,13.38,overcast clouds
45,Torbay,CA,2022-07-29 01:13:00,47.6666,-52.7314,56.28,90,100,13.0,overcast clouds
46,Castro,BR,2022-07-29 01:15:56,-24.7911,-50.0119,59.76,70,99,5.19,overcast clouds
47,Pangnirtung,CA,2022-07-29 01:16:57,66.1451,-65.7125,51.62,71,54,2.51,broken clouds
48,Luanda,AO,2022-07-29 01:16:57,-8.8368,13.2343,67.39,92,22,5.68,few clouds
49,Chuy,UY,2022-07-29 01:16:58,-33.6971,-53.4616,48.56,79,100,13.02,overcast clouds
50,Marshall,US,2022-07-29 01:13:15,34.3834,-86.3333,91.71,64,0,5.75,clear sky
51,Mahebourg,MU,2022-07-29 01:16:59,-20.4081,57.7,68.29,83,40,11.5,scattered clouds
52,Biltine,TD,2022-07-29 01:16:59,14.5333,20.9167,79.16,69,95,9.55,overcast clouds
53,Longyearbyen,SJ,2022-07-29 01:16:24,78.2186,15.6401,42.64,81,75,11.5,light intensity drizzle rain
54,San Pedro,PH,2022-07-29 01:17:00,14.35,121.0167,83.32,85,75,12.66,broken clouds
